id,title,category,tag,keywords,audio_url,description,published
FILLIT_追加_リゾート_se_移動pt02,スタッ,"自然・環境,生活・日常,ホラー演出","RPGゲーム向け,ホラー・演出向け,生活・日常向け",足音,assets/sounds/FILLIT_追加_リゾート_se_移動pt02.mp3,足音,TRUE
FILLIT_追加_リゾート_se_移動pt03,トス,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_リゾート_se_移動pt03.mp3,変更操作,TRUE
FILLIT_追加_侍_se_ストーン,チャキン,戦闘・アクション,"RPGゲーム向け,エフェクト","刀,ソード,日本刀",assets/sounds/FILLIT_追加_侍_se_ストーン.mp3,ソード,TRUE
FILLIT_追加_侍_se_移動,ガサッ,"自然・環境,生活・日常","RPGゲーム向け,生活・日常向け","足音,わらじ",assets/sounds/FILLIT_追加_侍_se_移動.mp3,足音,TRUE
FILLIT_追加_正月_se_ストーン_pt01,ドサッ,"自然・環境,生活・日常","RPGゲーム向け,生活・日常向け","岩,石",assets/sounds/FILLIT_追加_正月_se_ストーン_pt01.mp3,岩,TRUE
FILLIT_追加_正月_se_ストーン_pt02,タラリ～ン,その他,"解説動画向け,エフェクト","琴,正月,日本,和風",assets/sounds/FILLIT_追加_正月_se_ストーン_pt02.mp3,琴,TRUE
FILLIT_追加_正月_se_ストーン_pt03,タラリ～ン,その他,"解説動画向け,エフェクト","琴,正月,日本,和風",assets/sounds/FILLIT_追加_正月_se_ストーン_pt03.mp3,琴,TRUE
FILLIT_追加_正月_se_移動_pt01,フォカッ,生活・日常,"解説動画向け,エフェクト","コマ,コマ回し",assets/sounds/FILLIT_追加_正月_se_移動_pt01.mp3,変更操作,TRUE
FILLIT_追加_正月_se_移動_pt02,ポポン,その他,"解説動画向け,エフェクト","鼓,正月,日本,和風",assets/sounds/FILLIT_追加_正月_se_移動_pt02.mp3,鼓,TRUE
FILLIT_追加_正月_se_移動_pt03,カポ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_正月_se_移動_pt03.mp3,変更操作,TRUE
FILLIT_追加_梅雨_se_ストーンpt01,シュッ,UI・操作,"エフェクト,解説動画向け","移動,変更",assets/sounds/FILLIT_追加_梅雨_se_ストーンpt01.mp3,変更操作,TRUE
